symbol,market,setup,direction,signal_date,entry_date,entry,stop,target,exit_date,exit,exit_reason,bars_held,days_held,size_units,risk_amount,r_gross,cost_r,r_net,mae_r,mfe_r,exit_ambiguous
BTCUSDT,crypto,A,long,2023-02-26,2023-02-27,23690.0,22264.2,26541.6,2023-03-03,22264.2,stop,4,4.0,0.070136,100.0,-1.0,0.0377,-1.0377,1.0,0.217,False
BTCUSDT,crypto,B,long,2023-04-09,2023-04-10,29184.7,28204.3,31145.500000000004,2023-04-10,28204.3,stop_same_bar,0,0.0,0.101999,100.0,-1.0,0.0322,-1.0322,1.0,0.0,False
BTCUSDT,crypto,B,long,2023-04-10,2023-04-11,29637.35,28160.1,32591.85,2023-04-20,28160.1,stop,9,9.0,0.067693,100.0,-1.0,0.0757,-1.0757,1.0,0.922,False
BTCUSDT,crypto,A,long,2023-04-25,2023-04-26,28400.0,26439.9,32320.199999999997,2023-05-12,26439.9,stop,16,16.0,0.051018,100.0,-1.0,0.0849,-1.0849,1.0,0.801,False
ETHUSDT,crypto,B,long,2023-05-28,2023-05-29,1908.64,1813.96,2098.0,2023-06-05,1813.96,stop,7,7.0,1.056189,100.0,-1.0,0.064,-1.064,1.0,0.088,False
BTCUSDT,crypto,B,long,2023-07-12,2023-07-13,31500.0,30650.2,33199.6,2023-07-13,30650.2,stop_same_bar,0,0.0,0.117675,100.0,-1.0,0.0402,-1.0402,1.0,0.0,False
BTCUSDT,crypto,B,long,2023-07-13,2023-07-14,31500.0,30600.0,33300.0,2023-07-14,30600.0,stop_same_bar,0,0.0,0.111111,100.0,-1.0,0.0379,-1.0379,1.0,0.0,False
BTCUSDT,crypto,A,long,2023-07-19,2023-07-20,30239.8,29104.7,32509.999999999996,2023-07-24,29104.7,stop,4,4.0,0.088098,100.0,-1.0,0.0607,-1.0607,1.0,0.097,False
BTCUSDT,crypto,A,long,2023-08-01,2023-08-02,29739.2,28254.3,32709.000000000004,2023-08-17,28254.3,stop,15,15.0,0.067345,100.0,-1.0,0.1116,-1.1116,1.0,0.34,False
BTCUSDT,crypto,B,long,2023-11-28,2023-11-29,38414.0,37223.9,40794.2,2023-12-04,40794.2,target,5,5.0,0.084027,100.0,2.0,0.085,1.915,0.768,2.0,False
BTCUSDT,crypto,A,long,2023-12-17,2023-12-18,42724.4,39476.7,49219.80000000001,2024-01-22,39476.7,stop,35,35.0,0.030791,100.0,-1.0,0.1521,-1.1521,1.0,1.923,False
ETHUSDT,crypto,B,long,2023-12-26,2023-12-27,2355.0,2265.04,2534.92,2023-12-27,2265.04,stop_same_bar,0,0.0,1.111605,100.0,-1.0,0.0282,-1.0282,1.0,0.0,False
BTCUSDT,crypto,A,long,2024-03-23,2024-03-24,66649.6,58787.8,82373.20000000001,2024-05-01,58787.8,stop,38,38.0,0.01272,100.0,-1.0,0.1054,-1.1054,1.0,0.782,False
BTCUSDT,crypto,B,long,2024-05-15,2024-05-16,66206.51,62674.1,73271.32999999999,2024-06-24,62674.1,stop,39,39.0,0.028309,100.0,-1.0,0.2394,-1.2394,1.0,1.639,False
BTCUSDT,crypto,B,long,2024-09-17,2024-09-18,60625.0,58244.6,65385.8,2024-09-26,65385.8,target,8,8.0,0.04201,100.0,2.0,0.0902,1.9098,0.0,2.0,False
BTCUSDT,crypto,B,long,2024-10-13,2024-10-14,66260.0,64292.3,70195.4,2024-10-14,64292.3,stop_same_bar,0,0.0,0.050821,100.0,-1.0,0.0365,-1.0365,1.0,0.0,False
BTCUSDT,crypto,B,long,2024-11-05,2024-11-06,73620.1,71416.7,78026.90000000002,2024-11-06,71416.7,stop_same_bar,0,0.0,0.045384,100.0,-1.0,0.0362,-1.0362,1.0,0.0,False
BTCUSDT,crypto,A,long,2024-12-24,2024-12-25,99488.0,90042.7,118378.6,2025-01-13,90042.7,stop,19,19.0,0.010587,100.0,-1.0,0.0711,-1.0711,1.0,0.343,False
ETHUSDT,crypto,B,long,2025-01-05,2025-01-06,3671.6,3504.87,4005.06,2025-01-07,3504.87,stop,1,1.0,0.599772,100.0,-1.0,0.0303,-1.0303,1.0,0.0,False
BTCUSDT,crypto,A,long,2025-01-28,2025-01-29,103800.0,95651.5,120097.0,2025-02-03,95651.5,stop,5,5.0,0.012272,100.0,-1.0,0.0326,-1.0326,1.0,0.326,False
ETHUSDT,crypto,B,long,2025-05-28,2025-05-29,2738.5,2592.61,3030.2799999999997,2025-05-30,2592.61,stop,1,1.0,0.685448,100.0,-1.0,0.0257,-1.0257,1.0,0.0,False
ETHUSDT,crypto,A,long,2025-08-03,2025-08-04,3537.69,3266.13,4080.81,2025-08-09,4080.81,target,5,5.0,0.368243,100.0,2.0,0.035,1.965,0.0,2.0,False
ETHUSDT,crypto,A,long,2025-09-07,2025-09-08,4336.02,4103.82,4800.420000000002,2025-09-22,4103.82,stop,14,14.0,0.430663,100.0,-1.0,0.0984,-1.0984,1.0,1.866,False
