symbol,market,setup,direction,signal_date,entry_date,entry,stop,target,exit_date,exit,exit_reason,bars_held,days_held,size_units,risk_amount,r_gross,cost_r,r_net,mae_r,mfe_r,exit_ambiguous
DOGEUSDT,crypto,B,short,2022-01-04,2022-01-05,0.161,0.173024,0.136952,2022-01-10,0.136952,target,5,5.0,8316.699933,100.0,2.0,0.0337,1.9663,0.091,2.0,False
SOLUSDT,crypto,A,short,2022-02-07,2022-02-08,111.09,127.649,77.97200000000001,2022-02-24,77.97200000000001,target,16,16.0,6.039012,100.0,2.0,0.0385,1.9615,0.362,2.0,False
BNBUSDT,crypto,A,short,2022-02-07,2022-02-08,407.0,452.487,316.02599999999995,2022-04-02,452.487,stop,53,53.0,2.19843,100.0,-1.0,0.1527,-1.1527,1.0,1.836,False
LINKUSDT,crypto,B,short,2022-02-13,2022-02-14,15.26,16.8638,12.052399999999997,2022-02-15,16.8638,stop,1,1.0,62.351914,100.0,-1.0,0.0139,-1.0139,1.0,0.0,False
LINKUSDT,crypto,B,short,2022-02-17,2022-02-18,15.2,16.7499,12.100199999999997,2022-02-24,12.100199999999997,target,6,6.0,64.520292,100.0,2.0,0.0273,1.9727,0.31,2.0,False
DEXEUSDT,crypto,A,short,2022-03-02,2022-03-03,6.41,7.7624,3.7051999999999996,2022-04-04,7.7624,stop,32,32.0,73.942621,100.0,-1.0,0.0513,-1.0513,1.0,0.547,False
SOLUSDT,crypto,A,short,2022-03-20,2022-03-21,87.82,97.9951,67.46979999999999,2022-03-24,97.9951,stop,3,3.0,9.827913,100.0,-1.0,0.0178,-1.0178,1.0,0.0,False
DEXEUSDT,crypto,B,short,2022-04-06,2022-04-07,6.29,6.89742,5.0751599999999994,2022-04-22,6.89742,stop,15,15.0,164.630733,100.0,-1.0,0.0585,-1.0585,1.0,1.218,False
ZECUSDT,crypto,A,long,2022-04-07,2022-04-08,177.6,149.95,232.9,2022-04-11,149.95,stop,3,3.0,3.616637,100.0,-1.0,0.0123,-1.0123,1.0,0.0,False
LINKUSDT,crypto,B,short,2022-04-07,2022-04-08,15.13,16.1868,13.016399999999999,2022-04-25,13.016399999999999,target,17,17.0,94.625284,100.0,2.0,0.0877,1.9123,0.757,2.0,False
